Vdm, Vout
0.028228228228228236,4.69
0.02862862862862864,4.695
0.02902902902902904,4.695
0.029429429429429416,4.7
0.029829829829829818,4.7
0.03023023023023022,4.7
0.030630630630630623,4.7
0.031031031031031026,4.705
0.03143143143143143,4.705
0.03183183183183183,4.705
0.03223223223223223,4.705
0.032632632632632635,4.71
0.03303303303303304,4.71
0.03343343343343344,4.71
0.03383383383383384,4.715
0.034234234234234245,4.715
0.03463463463463465,4.715
0.03503503503503502,4.72
0.035435435435435425,4.72
0.03583583583583583,4.72
0.03623623623623623,4.72
0.03663663663663663,4.725
0.037037037037037035,4.72
0.03743743743743744,4.725
0.03783783783783784,4.725
0.03823823823823824,4.725
0.038638638638638645,4.73
0.03903903903903905,4.73
0.03943943943943945,4.73
0.03983983983983985,4.735
0.04024024024024023,4.735
0.04064064064064063,4.735
0.04104104104104103,4.735
0.041441441441441434,4.74
0.04184184184184184,4.74
0.04224224224224224,4.74
0.04264264264264264,4.74
0.043043043043043044,4.745
0.04344344344344345,4.745
0.04384384384384385,4.745
0.04424424424424425,4.745
0.044644644644644654,4.745
0.04504504504504506,4.75
0.04544544544544546,4.75
0.045845845845845834,4.75
0.046246246246246236,4.75
0.04664664664664664,4.75
0.04704704704704704,4.755
0.047447447447447444,4.755
0.047847847847847846,4.755
0.04824824824824825,4.755
0.04864864864864865,4.76
0.049049049049049054,4.76
0.049449449449449456,4.76
0.04984984984984986,4.76
0.05025025025025026,4.765
0.050650650650650664,4.765
0.051051051051051066,4.765
0.05145145145145147,4.765
0.05185185185185187,4.77
0.052252252252252274,4.77
0.052652652652652676,4.77
0.05305305305305308,4.77
0.05345345345345348,4.77
0.05385385385385383,4.77
0.05425425425425423,4.775
0.05465465465465463,4.775
0.055055055055055035,4.775
0.05545545545545544,4.775
0.05585585585585584,4.78
0.05625625625625624,4.78
0.056656656656656645,4.78
0.05705705705705705,4.78
0.05745745745745745,4.78
0.05785785785785785,4.785
0.058258258258258255,4.78
0.05865865865865866,4.78
0.05905905905905906,4.785
0.05945945945945946,4.785
0.059859859859859865,4.79
0.06026026026026027,4.79
0.06066066066066067,4.79
0.06106106106106107,4.79
0.061461461461461475,4.79
0.06186186186186188,4.79
0.06226226226226228,4.79
0.06266266266266268,4.795
0.06306306306306309,4.795
0.06346346346346349,4.795
0.06386386386386389,4.795
0.06426426426426429,4.8
0.06466466466466464,4.795
0.06506506506506504,4.8
0.06546546546546544,4.8
0.06586586586586585,4.8
0.06626626626626625,4.8
0.06666666666666665,4.8
0.06706706706706705,4.805
0.06746746746746746,4.8
0.06786786786786786,4.805
0.06826826826826826,4.805
0.06866866866866866,4.805
0.06906906906906907,4.805
0.06946946946946947,4.805
0.06986986986986987,4.81
0.07027027027027027,4.81
0.07067067067067068,4.81
